Page hit log started.
INODE	HITS
263402	3
263403	3
263404	3
263405	3
263406	3
132310	3
263408	3
263409	3
263410	3
302140	3
263411	3
263412	3
263413	3
263414	3
263415	3
168790	6
263416	3
265878	3
265879	3
265358	3
265881	3
265882	3
265883	3
265884	22
262410	12
265885	10
304122	3
302156	3
304106	3
265356	3
265887	3
265339	3
265340	3
265890	4
265357	3
265342	3
265344	3
265350	3
265351	3
265337	3
265898	3
265353	3
265343	4
265361	3
303665	3
265338	3
265341	3
267114	3
265905	3
265906	29
265907	3
265362	3
265873	3
265910	3
265872	3
265349	3
265870	3
265347	3
265355	4
265359	3
265354	3
265918	4
265919	3
265920	6
265921	3
265922	3
265923	3
265924	3
265925	3
265926	3
265927	3
265928	4
265929	3
265930	3
265931	6
265932	3
265352	3
265345	4
265348	3
265936	3
265360	3
265938	4
265939	3
265940	3
265942	3
265943	3
265944	3
265346	3
265946	3
265947	3
265948	3
265949	3
265950	3
265951	3
265952	3
265953	4
265954	3
265955	3
265874	3
155672	50
267104	3
136719	4
136964	1
136718	1
136849	1
131165	2
136937	1
136713	1
272387	4
262427	6
136712	1
136707	1
136716	1
136728	1
270983	1
136924	1
136826	1
262994	3
262408	3
262449	6
264324	6
262394	3
262396	3
263466	3
265973	1
263292	6
266009	1
136804	1
265971	1
265992	1
265969	1
136837	1
263399	6
263448	3
266008	1
263458	3
263447	3
263446	3
265398	1
162576	1
136715	1
136926	1
186456	1
131148	3
Page hit log stopped.
