Page hit log started.
INODE	HITS
262410	28
263402	3
263403	3
263404	3
263405	3
263406	3
132310	3
263408	3
263409	3
263410	3
302140	3
263411	3
263412	3
263413	3
263414	3
263415	3
168790	12
263416	3
265878	3
265879	3
265358	3
265881	3
265882	3
265883	3
265884	22
265885	10
304122	3
302156	3
304106	3
265356	3
265887	3
265339	3
265340	3
265890	4
265357	3
265342	3
265344	3
265350	3
265351	3
265337	3
265898	3
265353	3
265343	4
265361	3
303665	3
265338	3
265341	3
267114	3
265905	3
265906	29
265907	3
265362	3
265873	3
265910	3
265872	3
265349	3
265870	3
265347	3
265355	4
265359	3
265354	3
265918	4
265919	3
265920	6
265921	3
265922	3
265923	3
265924	3
265925	3
265926	3
265927	3
265928	4
265929	3
265930	3
265931	6
265932	3
265352	3
265345	4
265348	3
265936	3
265360	3
265938	4
265939	3
265940	3
265942	3
265943	3
265944	3
265346	3
265946	3
265947	3
265948	3
265949	3
265950	3
265951	3
265952	3
265953	4
265954	3
265955	3
265874	3
155672	120
131110	6
136719	48
131165	24
266746	4
265598	2
162576	5
136713	15
266876	3
271088	8
271365	1
271553	7
271405	7
271758	8
271175	8
271219	8
271407	8
271756	8
271367	1
265573	9
265572	9
162126	9
136717	10
272025	8
136849	14
271662	1
265574	9
271107	8
271760	8
271369	8
271127	8
271115	8
271113	8
271125	8
271099	8
271097	8
271101	8
271105	8
271381	8
271781	8
136949	8
272017	8
272013	8
136998	9
136715	11
271919	8
271278	1
271345	1
136964	14
136720	9
271357	9
136937	14
271092	8
271103	8
271569	8
136856	8
271275	8
271463	8
262408	54
272612	208
272613	96
272649	48
771	31
262427	12
136712	3
136707	3
136716	3
136728	3
31578	2
153621	2
153613	2
153430	7
153427	7
153433	5
155843	15
153423	2
155815	14
155765	8
155922	39
155868	14
155903	9
155744	29
11837	10
1397	20
1418	5
11769	1
153270	2
155790	2
155789	7
154034	7
155794	2
11821	1
11836	18
13892	38
287423	4
287436	4
287426	4
31316	4
155754	3
155758	2
31608	8
32181	4
155757	2
155764	2
155755	2
17571	4
155949	14
155908	9
155909	9
155913	19
155912	9
155916	9
155919	9
155920	14
155495	7
155347	3
154631	3
155504	3
155310	11
155494	3
155489	3
825	5
264458	3
263148	9
266336	11
278458	26
28682	6
266682	11
287407	66
1404	6
287408	18
287409	18
287410	18
287412	18
1405	6
287415	18
287411	18
287413	18
287414	18
287417	18
1398	6
287419	18
